Pojemnoœæ;Liczba Przechowlni;odbiorcy;gatunki;;Paleta;;;;;;;;;;
300;4;6;4;;300;;;;;;;;;;
paŸdziernik;listopad;grudzieñ;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;;ceny na wolnym rynku;;
360;369;375;378;384;399;420;450;510;525;540;549;gat1;;;
330;339;345;348;354;369;390;420;480;495;510;519;gat2;;;
369;378;384;387;393;408;429;459;519;534;549;558;gat3;;;
339;348;354;357;363;378;399;429;489;504;519;528;gat4;;;
;;;;;;;;;;;;;ceny u obiorców;;
390;399;405;408;414;429;450;480;540;555;570;579;gat1;Odbiorca1;;
354;363;369;372;378;393;414;444;504;519;534;543;gat2;;;
387;396;402;405;411;426;447;477;537;552;567;576;gat3;;;
366;375;381;384;390;405;426;456;516;531;546;555;gat4;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat1;Odbiorca2;;
375;384;390;393;399;414;435;465;525;540;555;564;gat2;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat3;;;
375;384;390;393;399;414;435;465;525;540;555;564;gat4;;;
393;402;408;411;417;432;453;483;543;558;573;582;gat1;Odbiorca3;;
360;369;375;378;384;399;420;450;510;525;540;549;gat2;;;
396;405;411;414;420;435;456;486;546;561;576;585;gat3;;;
381;390;396;399;405;420;441;471;531;546;561;570;gat4;;;
363;372;378;387;387;405;426;453;516;537;555;555;gat1;Odbiorca4;;
357;357;360;363;366;369;399;429;495;510;525;525;gat2;;;
375;381;384;390;396;420;432;462;540;540;567;567;gat3;;;
369;351;357;366;390;390;417;447;501;510;525;540;gat4;;;
360;387;387;387;387;417;450;453;567;567;567;576;gat1;Odbiorca5;;
351;354;357;363;366;390;396;432;501;504;537;543;gat2;;;
372;384;393;402;426;429;468;477;543;543;558;570;gat3;;;
357;357;369;372;390;399;408;444;540;570;573;576;gat4;;;
372;375;381;405;390;405;429;480;528;531;558;579;gat1;Odbiorca6;;
333;342;360;366;390;390;393;426;492;498;513;525;gat2;;;
381;390;387;399;420;411;435;465;531;540;567;561;gat3;;;
360;390;396;396;396;399;402;432;498;507;522;534;gat4;;;
;;;;;;;;;;;;;zamowienia;;
41;41;40;42;43;44;47;50;55;57;59;61;gat1;Odbiorca1;;
43;44;44;45;45;47;49;52;58;60;62;64;gat2;;;
40;41;41;42;42;44;46;49;55;57;59;61;gat3;;;
40;39;40;40;41;42;44;47;53;55;57;59;gat4;;;
39;40;40;41;41;43;45;48;54;55;56;57;gat1;Odbiorca2;;
43;44;45;46;46;48;50;52;59;60;61;62;gat2;;;
40;40;41;41;42;43;46;49;55;56;57;58;gat3;;;
38;40;36;40;41;42;44;47;53;55;57;59;gat4;;;
41;42;42;43;43;45;47;50;56;58;60;62;gat1;Odbiorca3;;
37;38;38;39;40;41;43;46;52;53;54;55;gat2;;;
41;41;42;43;43;45;47;50;56;57;58;59;gat3;;;
39;39;40;40;41;43;45;48;54;55;56;57;gat4;;;
55;57;59;61;41;42;44;40;41;47;53;55;gat1;Odbiorca4;;
58;60;62;64;41;43;45;41;41;50;56;58;gat2;;;
55;57;59;61;46;48;50;46;46;46;52;53;gat3;;;
53;55;57;59;42;43;46;41;42;50;56;57;gat4;;;
46;48;50;52;41;42;44;43;45;48;54;55;gat1;Odbiorca5;;
37;38;38;39;40;41;43;46;52;53;54;55;gat2;;;
41;41;42;43;43;45;47;50;56;57;58;59;gat3;;;
39;39;40;40;41;43;45;48;54;55;56;57;gat4;;;
40;40;41;41;42;43;46;49;55;56;57;58;gat1;Odbiorca6;;
38;40;36;40;41;42;44;47;53;55;57;59;gat2;;;
41;42;42;43;43;45;47;50;56;58;60;62;gat3;;;
37;38;38;39;40;41;43;46;52;53;54;55;gat4;;;
paŸdziernik;listopad;grudzieñ;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;;Koszty;;
4500;4000;3500;3200;3800;4200;4600;4900;5200;5500;5000;4500;;Za jedn¹ przechowalniê;;
